link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
10772AB,12338,12385,1/1/2018,6,2,0600_0900,1323.0,441.0,27.02916666666667,16.492991017846453,0,0,537.5,228.0,2.4613953488372093,0.25,6407.456776037867,0.012197430814521404
10772BA,12385,12338,1/1/2018,6,2,0600_0900,691.3333333333333,230.44444444444443,27.680555554166663,8.472180515228855,0,0,277.3333333333333,102.66666666666667,2.4927884615384612,0.25,2682.808366517503,0.011341688508343072
10780AB,12779,12771,1/1/2018,6,2,0600_0900,583.5,194.5,29.51666666666667,6.686586763098667,0,0,230.5,88.0,2.531453362255965,0.25,1844.00541745799,0.00909488151760767
10780BA,12771,12779,1/1/2018,6,2,0600_0900,1319.5,439.8333333333333,29.370833333333334,15.003771423927816,0,0,271.0,168.0,4.869003690036901,0.25,3613.496106242737,0.009335462410721355
10800AB,12831,12790,1/1/2018,6,2,0600_0900,1633.5,544.5,24.03333333333333,22.978071410508274,0,0,388.0,294.0,4.210051546391752,0.25,11620.595067050572,0.01715530970546723
10800BA,12790,12831,1/1/2018,6,2,0600_0900,1752.5,584.1666666666666,23.924999999999997,24.753634610471508,0,0,638.0,412.0,2.7468652037617556,0.25,16314.059897646219,0.017186298941526575
10849AB,12847,12848,1/1/2018,6,2,0600_0900,1982.0,660.6666666666666,26.883333333333336,25.372599884256335,0,0,889.0,202.0,2.229471316085489,0.25,5893.137747285839,0.012662304359370359
10849BA,12848,12847,1/1/2018,6,2,0600_0900,381.33333333333337,127.11111111111113,25.03888889,5.329737477162928,0,0,181.33333333333334,41.333333333333336,2.1029411764705883,0.25,1476.8081876271426,0.015507478448705711
10909AB,9828,9791,1/1/2018,6,2,0600_0900,2815.0,938.3333333333334,28.083333333333332,34.54169032940192,0,0,1108.5,392.0,2.539467749210645,0.25,10022.10685204639,0.01109661419807432
10909BA,9791,9828,1/1/2018,6,2,0600_0900,434.5,144.83333333333334,24.966666666666665,5.699697703726945,0,1,78.5,58.0,4.10440318530125,0.5,271.7826762952781,0.016270514624956784
10917AB,9830,12908,1/1/2018,6,2,0600_0900,1395.0,465.0,25.558333333333337,18.49786273553369,0,0,574.5,244.0,2.4281984334203655,0.25,8034.558812050497,0.014291892240242373
10917BA,12908,9830,1/1/2018,6,2,0600_0900,1189.5,396.5,29.066666666666663,13.943997679807724,0,0,237.0,188.0,5.018987341772152,0.25,4234.606662731587,0.009776260210576397
11143AB,6016,25429,1/1/2018,6,2,0600_0900,1979.0,659.6666666666666,23.783333333333335,28.778852401914076,0,0,710.0,492.0,2.787323943661972,0.25,20378.388798564523,0.017977208953114873
11143BA,25429,6016,1/1/2018,6,2,0600_0900,1248.0,416.0,31.54166666666666,13.313893963000789,0,0,491.0,140.0,2.5417515274949083,0.25,2194.268592664045,0.006802668008011052
11180AB,13037,12841,1/1/2018,6,2,0600_0900,1270.0,423.3333333333333,21.558333333333337,20.16830296039311,0,0,512.0,200.0,2.48046875,0.25,10077.23421135916,0.021868997854512063
11180BA,12841,13037,1/1/2018,6,2,0600_0900,2183.5,727.8333333333334,21.6875,35.03211850383592,6,7,857.5,898.0,2.5463556851311955,0.5,5749.288672604806,0.02223029831958676
