link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time,VOC_period,VOC,alpha,beta,VDF_TYPE,alpha_day,beta_day
10072AB,12413,12466,1/1/2018,1,1,0600_0900,4597.166666666666,1532.3888888888887,65.8111111125,23.29033687012047,0,0,1616.5,1532.0,2.8439014331374364,0.25,3213.8438942344346,0.0009105075218924616,0.9651255250492832,0.9578086861163355,0.37,5.64,101,0.3,4.5
10076AB,12467,12451,1/1/2018,1,1,0600_0900,5227.166666666667,1742.388888888889,59.783333331666675,29.281491765936423,0,0,1782.8333333333333,1561.3333333333333,2.931943535570721,0.25,8992.894313807185,0.002499892784892493,0.9651255250492832,1.0563645237020767,0.37,5.64,101,0.3,4.5
10080AB,12469,12470,1/1/2018,1,1,0600_0900,4419.0,1473.0,55.119444445,28.121495713136934,6,9,1568.1666666666667,1574.3333333333333,2.817940269954299,1.0,260.87397125750215,0.0046029001915714254,0.9651255250492832,0.9291702162767915,0.37,5.64,101,0.3,4.5
10085AB,12478,12479,1/1/2018,1,1,0600_0900,4202.5,1400.8333333333333,53.15000000166666,26.369298492547,0,0,1418.1666666666665,1317.3333333333333,2.963332941591257,0.25,13760.164822624569,0.004533623805531143,0.9651255250492832,0.8402922064299307,0.37,5.64,101,0.3,4.5
10360AB,12596,12614,1/1/2018,1,1,0600_0900,4162.666666666667,1387.5555555555557,61.83680555666666,22.547901656788667,0,0,1404.9166666666665,1148.6666666666667,2.962927813037547,0.25,5102.506222302277,0.0019280000900433608,0.9651255250492832,0.8324413155601247,0.37,5.64,101,0.3,4.5
10363AB,12612,12591,1/1/2018,1,1,0600_0900,4262.6,1420.8666666666668,50.20333333333334,28.621474416623276,7,11,1652.3,1321.84,2.5797978575319256,1.25,146.77832395957964,0.006024355233436262,0.9651255250492832,0.979020904466453,0.37,5.64,101,0.3,4.5
10519AB,12682,12698,1/1/2018,1,1,0600_0900,3298.0999999999995,1099.3666666666666,40.49,27.289480049114015,0,11,3298.0999999999995,1099.3666666666666,1.0,3.0,16.139537607708764,0.011010569605938185,0.9651255250492832,1.9541904285062084,0.37,5.64,101,0.3,4.5
10520AB,12699,12683,1/1/2018,1,1,0600_0900,3194.125,1064.7083333333333,57.17916666666667,19.012295708077904,8,11,1108.75,1108.75,2.8808342728297633,1.0,139.27017413402817,0.0034891688371296043,0.9651255250492832,0.656956622784712,0.37,5.64,101,0.3,4.5
11352AB,13120,13121,1/1/2018,1,1,0600_0900,4235.799999999999,1411.9333333333332,51.782500000000006,29.245600461696743,3,7,1730.6999999999998,1384.56,2.447449009071474,1.25,164.8083481773407,0.0064579542524915365,0.9651255250492832,1.0254744776130786,0.37,5.64,101,0.3,4.5
11533AB,13109,13237,1/1/2018,1,1,0600_0900,3318.75,1106.25,68.59513888916668,16.125895536780934,0,0,1068.0,1087.0,3.107443820224719,0.25,737.1912618821879,0.00029435279226487746,0.9651255250492832,0.6328114301096482,0.37,5.64,101,0.3,4.5
