link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
10072AB,12413,12466,1/1/2018,1,1,0900_1400,6195.499999999999,1239.1,66.79499999900001,18.559538823369742,0,0,1243.6666666666665,1230.0,4.981640310908603,0.25,1959.2618592322785,0.000691361033209222
10076AB,12467,12451,1/1/2018,1,1,0900_1400,6728.333333333334,1345.6666666666667,66.76250000099999,20.17596118518698,0,0,1289.3333333333333,1390.0,5.218459152016547,0.25,2234.742657859081,0.0006977988415077568
10080AB,12469,12470,1/1/2018,1,1,0900_1400,6676.000000000001,1335.2000000000003,56.134166666,25.478947867630573,17,19,1463.1666666666667,1498.6666666666667,4.5627064585943735,0.75,581.85483435918,0.004549785146894999
10085AB,12478,12479,1/1/2018,1,1,0900_1400,6523.166666666666,1304.6333333333332,62.0716666675,21.055791715532912,0,0,1324.6666666666667,1358.0,4.924383492702566,0.25,5769.049539797693,0.0018438348686659084
10360AB,12596,12614,1/1/2018,1,1,0900_1400,6399.666666666668,1279.9333333333336,56.73000000049999,22.862844165239334,17,19,975.8333333333335,1301.1111111111113,6.558155422715628,0.75,394.70077535678297,0.003554961349351897
10363AB,12612,12591,1/1/2018,1,1,0900_1400,6801.5999999999985,1360.3199999999997,59.64699999999999,22.819174002104877,0,0,1330.9,1328.4,5.110526711248026,0.25,7646.770215296521,0.0024984271934074443
10519AB,12682,12698,1/1/2018,1,1,0900_1400,5223.199999999999,1044.6399999999999,56.6315,18.688099648591947,0,1,1032.2,1037.4,5.060259639604727,0.5,1077.35162782838,0.0036059420313215586
10520AB,12699,12683,1/1/2018,1,1,0900_1400,5452.125,1090.425,61.168124999999996,17.832100814640146,0,0,1053.75,1024.0,5.174021352313167,0.25,4890.765540282346,0.0020729766592586713
11352AB,13120,13121,1/1/2018,1,1,0900_1400,6324.1,1264.8200000000002,70.9315,17.85804765805803,0,0,1360.9,1468.0,4.64699830994195,0.25,198.090894664007,5.85674051832635e-05
11533AB,13109,13237,1/1/2018,1,1,0900_1400,4833.333333333334,966.6666666666667,70.3350000005,13.749526489814025,0,0,1048.9166666666667,1084.6666666666667,4.607928815444507,0.25,59.499004062344476,2.3808439317612487e-05
11877AB,13389,9486,1/1/2018,1,1,0900_1400,5019.500000000001,1003.9000000000002,73.534,13.651669331137379,0,0,885.1999999999999,774.0,5.670469950293721,0.25,0.0,0.0
11878AB,9448,13332,1/1/2018,1,1,0900_1400,6644.625,1328.925,66.75187500000001,20.46620236983265,0,0,1471.125,1503.5,4.516696405811879,0.25,3597.3003232247297,0.00103846243118624
40714AB,37377,11145,1/1/2018,1,1,0900_1400,6065.500000000001,1213.1000000000001,62.73083333250001,19.41159489306961,0,0,1453.8333333333335,1061.3333333333333,4.172073827811533,0.25,4076.191235338864,0.0016669411655195186
7230AB,10937,10938,1/1/2018,1,1,0900_1400,5431.75,1086.35,62.846875,17.329048423582044,0,0,971.875,927.0,5.588938906752412,0.25,3488.035972770233,0.0016331224402054087
7279AB,10737,10941,1/1/2018,1,1,0900_1400,6856.125,1371.225,60.444375,23.010609588857317,0,2,1370.75,1367.1666666666667,5.00173262812329,0.75,290.5847479973247,0.0024907643659102634
7348AB,11007,10994,1/1/2018,1,1,0900_1400,6756.0,1351.2,54.080000000000005,26.034694711479062,0,4,1597.1,1277.6799999999998,4.230167178010143,1.25,123.93956175126372,0.005262782207365368
7349AB,10977,11002,1/1/2018,1,1,0900_1400,5341.1,1068.22,64.63199999999999,16.685982495301225,19,19,920.1000000000001,1188.8,5.804912509509835,0.25,3458.165121576476,0.0012625670616642469
7496AB,11084,11085,1/1/2018,1,1,0900_1400,8086.833333333334,1617.3666666666668,61.2224999985,26.50836235806667,0,0,1686.1666666666667,1383.3333333333333,4.795986952653949,0.25,6622.554779809548,0.0020778598079221723
7596AB,11142,37380,1/1/2018,1,1,0900_1400,6320.5,1264.1,57.08333333399999,22.258758128401496,0,2,1225.8333333333335,1226.888888888889,5.156084296397008,0.75,347.8759992802375,0.00332277185284256
7922AB,11272,11293,1/1/2018,1,1,0900_1400,6223.3,1244.66,54.86900000000001,23.162666861282467,13,19,2300.2,1314.3999999999999,2.705547343709243,1.75,37.25031729614249,0.004219044161658333
7925AB,11295,11273,1/1/2018,1,1,0900_1400,6835.200000000001,1367.0400000000002,48.05649999999999,29.18469063261437,0,11,4067.4,1355.8,1.6804838471750998,3.0,13.054544651032272,0.007221499106265088
9417AB,12001,12002,1/1/2018,1,1,0900_1400,6968.3333334,1393.66666668,65.17333333349998,21.410514584311336,0,0,1189.25,1245.6666664,5.859435218330881,0.25,3046.2384437447377,0.0010614012062639595
9419AB,12005,12006,1/1/2018,1,1,0900_1400,7150.25,1430.05,60.5175000005,25.055504445817725,0,2,1480.0833333333333,1476.111111111111,4.830977985473791,0.75,400.1298765950159,0.003176605037420443
