road_link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,volume_at_p,resource_balance,notes
1,1,547,0600_1100,4989.131,0.863,59.999,0.101,,,period-based
2,2,548,0600_1100,6719.404,0.863,59.997,0.136,,,period-based
3,3,549,0600_1100,10095.536,0.863,59.984,0.204,,,period-based
4,4,550,0600_1100,9444.626,0.863,59.988,0.191,,,period-based
5,5,551,0600_1100,17223.799,0.865,59.868,0.348,,,period-based
6,6,552,0600_1100,6446.036,0.863,59.997,0.130,,,period-based
7,7,553,0600_1100,9884.273,0.863,59.986,0.200,,,period-based
8,8,554,0600_1100,9252.304,0.863,59.989,0.187,,,period-based
9,9,555,0600_1100,6699.442,0.863,59.997,0.135,,,period-based
10,10,556,0600_1100,13823.633,0.863,59.945,0.279,,,period-based
11,11,557,0600_1100,10551.052,0.863,59.981,0.213,,,period-based
12,12,558,0600_1100,6985.776,0.863,59.996,0.141,,,period-based
13,13,559,0600_1100,9401.475,0.863,59.988,0.190,,,period-based
14,14,560,0600_1100,14763.682,0.864,59.929,0.298,,,period-based
15,15,561,0600_1100,8934.737,0.863,59.990,0.180,,,period-based
16,16,562,0600_1100,10301.006,0.863,59.983,0.208,,,period-based
17,17,563,0600_1100,9098.558,0.863,59.990,0.184,,,period-based
18,18,564,0600_1100,9300.730,0.863,59.989,0.188,,,period-based
19,19,565,0600_1100,2624.612,0.863,60.000,0.053,,,period-based
20,20,566,0600_1100,7707.948,0.863,59.995,0.156,,,period-based
21,21,567,0600_1100,4696.173,0.863,59.999,0.095,,,period-based
22,22,568,0600_1100,3370.821,0.863,60.000,0.068,,,period-based
23,23,569,0600_1100,12667.829,0.863,59.961,0.256,,,period-based
24,24,570,0600_1100,6010.920,0.863,59.998,0.121,,,period-based
25,25,571,0600_1100,5993.210,0.863,59.998,0.121,,,period-based
26,26,572,0600_1100,12936.835,0.863,59.958,0.261,,,period-based
27,27,573,0600_1100,7749.488,0.863,59.995,0.157,,,period-based
28,28,574,0600_1100,8700.354,0.863,59.991,0.176,,,period-based
29,29,575,0600_1100,14581.232,0.864,59.932,0.295,,,period-based
30,30,576,0600_1100,5416.960,0.863,59.999,0.109,,,period-based
31,31,577,0600_1100,7838.864,0.863,59.994,0.158,,,period-based
32,32,578,0600_1100,7900.643,0.863,59.994,0.160,,,period-based
33,33,579,0600_1100,4727.446,0.863,59.999,0.096,,,period-based
34,34,580,0600_1100,6460.138,0.863,59.997,0.131,,,period-based
35,35,581,0600_1100,5145.607,0.863,59.999,0.104,,,period-based
36,36,582,0600_1100,6100.871,0.863,59.998,0.123,,,period-based
37,37,583,0600_1100,1148.811,0.863,60.000,0.023,,,period-based
38,38,584,0600_1100,2228.480,0.863,60.000,0.045,,,period-based
39,39,585,0600_1100,6737.857,0.863,59.997,0.136,,,period-based
40,40,586,0600_1100,1866.660,0.863,60.000,0.038,,,period-based
41,41,587,0600_1100,8069.736,0.863,59.994,0.163,,,period-based
42,42,588,0600_1100,2120.698,0.863,60.000,0.043,,,period-based
