link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
1,1,3,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0701:00_0702:00,0.000,1.000,0.000,0.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0702:00_0703:00,1.000,34.000,1.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0703:00_0704:00,33.000,68.000,34.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0704:00_0705:00,34.000,101.000,68.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0705:00_0706:00,33.000,134.000,101.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0706:00_0707:00,33.000,168.000,134.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0707:00_0708:00,34.000,201.000,168.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0708:00_0709:00,33.000,234.000,201.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0709:00_0710:00,33.000,268.000,234.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0710:00_0711:00,34.000,301.000,268.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0711:00_0712:00,33.000,334.000,301.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0712:00_0713:00,33.000,368.000,334.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0713:00_0714:00,34.000,401.000,368.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0714:00_0715:00,33.000,434.000,401.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0715:00_0716:00,33.000,468.000,434.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0716:00_0717:00,34.000,501.000,468.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0717:00_0718:00,33.000,534.000,501.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0718:00_0719:00,33.000,568.000,534.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0719:00_0720:00,34.000,601.000,568.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0720:00_0721:00,33.000,634.000,601.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0721:00_0722:00,33.000,668.000,634.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0722:00_0723:00,34.000,701.000,668.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0723:00_0724:00,33.000,734.000,701.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0724:00_0725:00,33.000,768.000,734.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0725:00_0726:00,34.000,801.000,768.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0726:00_0727:00,33.000,834.000,801.000,11.000,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0727:00_0728:00,33.000,868.000,834.000,11.333,0.000,1.000,0.000,60.000,simulation-based
1,1,3,0728:00_0729:00,34.000,901.000,868.000,11.000,0.000,1.000,0.000,60.000,simulation-based
