link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost,original_link_id,main_node_id,movement_str,,VDF_fftt1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_PHF1,VDF_gamma1,VDF_mu1,geometry
12,13,14,,1,0.10075,2,2200,120,41000,0,,,,,0.050375,4003.609574,0.15,4,2,3.47,1000,"""LINESTRING (120.03546644921875 30.23958592578125,120.035972 30.239664,120.03649931249998 30.2397428125)"""
13,14,15,,1,0.09955,2,2200,120,41000,0,,,,,0.049775,3211.220488,0.15,4,2,3.47,1000,"""LINESTRING (120.03649931249998 30.2397428125,120.036621 30.239761,120.03751827343748 30.239905507812498)"""
15,16,18,,1,0.10039,2,2200,120,41000,0,,,,,0.050195,3211.220488,0.15,4,2,3.47,1000,"""LINESTRING (120.03854251953126 30.240070464843754,120.038788 30.24011,120.0395706640625 30.24023175390625)"""
17,18,9,,1,0.09953,2,2200,120,41000,0,,,,,0.049765,3211.220488,0.15,4,2,3.47,1000,"""LINESTRING (120.0395706640625 30.24023175390625,120.04059033203126 30.240390376953126)"""
19,20,21,,1,0.09928,2,2200,120,41000,0,,,,,0.04964,2200,0.15,4,2,3.47,1000,"""LINESTRING (120.023176625 30.23768530859375,120.02419381249999 30.237843154296872)"""
27,29,30,,1,0.10023,1,2200,40,41000,0,,,,,0.150345,2622.876381,0.15,4,2,3.47,1000,"""LINESTRING (120.04556359375 30.243745125,120.045574 30.243816,120.045585 30.244154,120.045531 30.244482,120.0454768125 30.244635531250005)"""
29,31,32,,1,0.10033,1,2200,40,41000,0,,,,,0.150495,2622.876381,0.15,4,2,3.47,1000,"""LINESTRING (120.044987796875 30.245420984375,120.04477 30.24571,120.044577 30.246037,120.044496 30.246214)"""
42,45,46,,1,0.09993,2,2200,120,41000,0,,,,,0.049965,4094.838377,0.15,4,2,3.47,1000,"""LINESTRING (120.03377353320313 30.239409705078128,120.03274951171875 30.23925204296875)"""
43,46,47,,1,0.09993,2,2200,120,41000,0,,,,,0.049965,4094.838377,0.15,4,2,3.47,1000,"""LINESTRING (120.03274951171875 30.23925204296875,120.03172549023436 30.239094380859374)"""
49,52,53,,1,0.09984,2,2200,120,41000,0,,,,,0.04992,4299.263405,0.15,4,2,3.47,1000,"""LINESTRING (120.02660171614939 30.23830550577958,120.02557941602696 30.238143986918942)"""
50,53,54,,1,0.09983,2,2200,120,41000,0,,,,,0.049915,4299.263405,0.15,4,2,3.47,1000,"""LINESTRING (120.02558021875 30.23813890625,120.02455766015623 30.23797919921875)"""
51,54,55,,1,0.09983,2,2200,120,41000,0,,,,,0.049915,4299.263405,0.15,4,2,3.47,1000,"""LINESTRING (120.02455766015623 30.23797919921875,120.0235351015625 30.2378194921875)"""
