link_id,from_node_id,to_node_id,time_period,volume,travel_time,speed,VOC,queue,geometry,notes
12,13,14,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
13,14,15,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
15,16,18,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
17,18,9,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
19,20,21,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
27,29,30,1000_1200,0.000,0.150,40.000,0.000,0,"",period-based
29,31,32,1000_1200,0.000,0.150,40.000,0.000,0,"",period-based
42,45,46,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
43,46,47,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
49,52,53,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
50,53,54,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
51,54,55,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
54,58,59,1000_1200,0.000,0.042,120.000,0.000,0,"",period-based
55,59,60,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
59,63,64,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
63,68,69,1000_1200,0.000,0.150,40.000,0.000,0,"",period-based
64,69,66,1000_1200,0.000,0.150,40.000,0.000,0,"",period-based
66,71,79,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
71,76,78,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
75,81,82,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
79,85,71,1000_1200,0.000,0.050,120.000,0.000,0,"",period-based
84,90,91,1000_1200,0.000,0.151,40.000,0.000,0,"",period-based
86,92,93,1000_1200,0.000,0.150,40.000,0.000,0,"",period-based
114,122,123,1000_1200,2574.793,0.052,115.710,0.705,0,"",period-based
116,124,125,1000_1200,2574.793,0.052,115.710,0.705,0,"",period-based
120,128,129,1000_1200,2574.793,0.052,115.710,0.705,0,"",period-based
123,131,142,1000_1200,2574.793,0.052,115.710,0.705,0,"",period-based
133,141,143,1000_1200,6569.254,0.921,6.552,3.278,0,"",period-based
133,141,143,1000_1015,1000.000,0.233,25.863,3.278,6.100,"",slot-based
133,141,143,1015_1030,1000.000,0.314,19.227,3.278,8.783,"",slot-based
133,141,143,1030_1045,1000.000,0.376,16.063,3.278,10.844,"",slot-based
133,141,143,1045_1100,1000.000,0.409,14.753,3.278,11.955,"",slot-based
133,141,143,1100_1115,1000.000,0.409,14.753,3.278,11.955,"",slot-based
133,141,143,1115_1130,1000.000,0.376,16.063,3.278,10.844,"",slot-based
