o_zone_id,d_zone_id,volume
278,314,64
495,314,13
589,314,2
1032,314,9
1103,314,3
1275,314,6
1786,314,1
1804,314,1
2173,314,1
2189,314,1
2529,314,2
3280,314,2
3335,314,3
3729,314,1
4109,314,1
4173,314,3
4896,314,2
5445,314,1
315,425,31
589,425,3
1275,425,3
1459,425,3
1786,425,1
1804,425,1
2529,425,2
4896,425,1
315,494,15
495,494,1
589,494,3
1275,494,4
1459,494,4
1786,494,8
1804,494,8
2173,494,1
2189,494,1
2446,494,1
2529,494,6
3211,494,1
3280,494,11
3335,494,14
3729,494,1
4109,494,3
4173,494,5
4258,494,2
278,550,4
1103,550,1
1275,550,32
1459,550,2
1786,550,5
1804,550,5
2529,550,7
3211,550,3
3335,550,1
4896,550,4
5048,550,1
5445,550,1
315,654,106
589,654,8
1275,654,34
1459,654,15
1786,654,18
1804,654,18
2173,654,1
2189,654,1
2446,654,1
2529,654,25
3211,654,9
4173,654,1
4896,654,12
5048,654,2
5391,654,1
5445,654,2
315,1103,3
495,1103,1
589,1103,1
1174,1103,49
1275,1103,1
1459,1103,1
1786,1103,1
1804,1103,1
2087,1103,3
2529,1103,1
3280,1103,20
3335,1103,62
3729,1103,12
4109,1103,12
4173,1103,53
4258,1103,2
4458,1103,3
4896,1103,1
278,1272,34
315,1272,5
495,1272,4
589,1272,55
1032,1272,3
1103,1272,1
1459,1272,24
1786,1272,14
1804,1272,14
2173,1272,4
2189,1272,4
2446,1272,5
2529,1272,47
3211,1272,22
3280,1272,4
3335,1272,6
4109,1272,7
4173,1272,2
4896,1272,23
5048,1272,2
5391,1272,1
5445,1272,2
278,1424,12
315,1424,2
495,1424,5
589,1424,7
1032,1424,1
1275,1424,23
1459,1424,44
1786,1424,25
1804,1424,25
2173,1424,5
2189,1424,5
2446,1424,4
2529,1424,48
3211,1424,22
3280,1424,1
3335,1424,1
4109,1424,7
4173,1424,1
4896,1424,27
5048,1424,4
5391,1424,5
5445,1424,2
278,1470,7
495,1470,2
589,1470,3
1275,1470,9
1459,1470,19
2173,1470,2
2189,1470,2
2446,1470,6
2529,1470,6
3211,1470,12
3335,1470,2
3729,1470,1
4109,1470,6
4896,1470,13
5391,1470,6
5445,1470,1
3335,2086,2
3729,2086,1
4109,2086,2
4173,2086,2
278,2430,1
1103,2430,1
1275,2430,4
1459,2430,10
1786,2430,5
1804,2430,5
2173,2430,10
2189,2430,10
2446,2430,2
2529,2430,21
3211,2430,55
3335,2430,1
3729,2430,1
4109,2430,12
4173,2430,2
4896,2430,67
5048,2430,12
5391,2430,25
5445,2430,22
278,2527,24
315,2527,1
495,2527,1
589,2527,13
1032,2527,2
1103,2527,1
1275,2527,72
1459,2527,56
1786,2527,5
1804,2527,5
2173,2527,7
2189,2527,7
2446,2527,11
2529,2527,3
3211,2527,39
3280,2527,1
3335,2527,1
4109,2527,6
4173,2527,1
4896,2527,46
5048,2527,4
5391,2527,6
5445,2527,3
278,3197,7
315,3197,1
589,3197,3
1032,3197,1
1275,3197,15
1459,3197,34
1786,3197,19
1804,3197,19
2446,3197,75
2529,3197,45
3211,3197,1
4109,3197,1
315,3279,2
495,3279,15
1103,3279,1
1174,3279,16
1275,3279,5
1459,3279,2
1611,3279,6
2087,3279,5
2446,3279,1
3335,3279,9
3729,3279,11
4109,3279,9
4173,3279,9
4258,3279,11
4458,3279,1
4896,3279,3
315,3334,3
495,3334,14
589,3334,1
1103,3334,5
1174,3334,24
1275,3334,4
1459,3334,1
1611,3334,9
1786,3334,3
1804,3334,3
2087,3334,3
2529,3334,1
3280,3334,8
3729,3334,3
4109,3334,10
4173,3334,12
4258,3334,9
4458,3334,4
4896,3334,4
3280,3396,8
3335,3396,18
4109,3396,4
4173,3396,10
4258,3396,1
4458,3396,1
4896,3396,1
5391,3396,3
2087,3729,5
2446,3729,1
4109,3729,2
4173,3729,4
4258,3729,12
4458,3729,3
495,3909,2
1103,3909,1
1174,3909,1
1611,3909,2
3280,3909,2
3335,3909,7
3729,3909,12
4109,3909,10
4173,3909,25
4258,3909,1
1275,3976,5
1459,3976,7
1786,3976,6
1804,3976,6
2446,3976,15
2529,3976,15
5391,3976,2
5445,3976,48
315,4108,1
495,4108,10
1174,4108,4
1275,4108,3
1459,4108,13
1611,4108,4
1786,4108,3
1804,4108,3
2087,4108,9
2446,4108,13
2529,4108,20
3211,4108,1
3280,4108,8
3335,4108,10
3729,4108,8
4109,4108,3
4173,4108,5
4258,4108,94
4458,4108,30
4896,4108,12
5048,4108,2
5391,4108,30
315,4172,3
495,4172,6
1174,4172,19
1459,4172,1
1611,4172,5
2087,4172,1
2446,4172,4
2529,4172,6
3280,4172,9
3335,4172,8
3729,4172,5
4109,4172,11
4258,4172,54
4458,4172,5
4896,4172,7
5048,4172,3
5391,4172,8
1103,4377,2
1459,4377,1
1611,4377,1
3280,4377,2
3335,4377,3
3729,4377,4
4109,4377,14
4173,4377,6
495,5048,2
589,5048,1
1275,5048,4
1459,5048,1
1786,5048,2
1804,5048,2
2173,5048,1
2189,5048,1
2446,5048,23
2529,5048,4
3211,5048,1
4109,5048,2
4173,5048,3
4896,5048,10
5391,5048,23
278,5213,7
495,5213,1
589,5213,4
1032,5213,1
1174,5213,1
1275,5213,23
1459,5213,33
1611,5213,1
1786,5213,24
1804,5213,24
2446,5213,114
2529,5213,60
3211,5213,1
3280,5213,1
3335,5213,3
3729,5213,5
4109,5213,8
4173,5213,3
5048,5213,13
5391,5213,73
1275,5238,1
1459,5238,7
1786,5238,5
1804,5238,5
2446,5238,22
2529,5238,4
3211,5238,1
3280,5238,1
3335,5238,1
4109,5238,24
4173,5238,12
4896,5238,44
5048,5238,11
1275,5444,1
1459,5444,2
1786,5444,1
1804,5444,1
2173,5444,27
2189,5444,27
2446,5444,6
2529,5444,1
1275,5603,1
1459,5603,7
1786,5603,5
1804,5603,5
2446,5603,22
2529,5603,4
3211,5603,1
3280,5603,1
3335,5603,1
4109,5603,24
4173,5603,12
4896,5603,44
5048,5603,11
