o_zone_id,d_zone_id,volume
278,314,10
495,314,12
1032,314,4
1275,314,2
2529,314,1
3280,314,1
3335,314,3
4173,314,1
315,425,11
589,425,2
1275,425,3
1459,425,1
3211,425,1
5391,425,1
315,494,5
495,494,1
1275,494,2
2173,494,2
2189,494,2
2446,494,1
3211,494,1
3280,494,2
3335,494,7
4173,494,1
4258,494,1
5391,494,1
278,550,2
495,550,2
1032,550,3
1275,550,8
1459,550,1
1786,550,2
1804,550,2
4896,550,3
315,654,64
589,654,3
1275,654,14
1786,654,3
1804,654,3
2446,654,1
2529,654,2
4896,654,4
495,1103,2
1174,1103,57
3211,1103,2
3280,1103,11
3335,1103,21
4109,1103,1
4173,1103,15
4258,1103,4
278,1272,6
495,1272,4
589,1272,43
1032,1272,1
1459,1272,18
2173,1272,1
2189,1272,1
2446,1272,3
2529,1272,5
3211,1272,5
3335,1272,2
4109,1272,3
4173,1272,1
4896,1272,22
495,1424,2
589,1424,1
1032,1424,1
1275,1424,15
1459,1424,31
1786,1424,8
1804,1424,8
2173,1424,1
2189,1424,1
2446,1424,4
2529,1424,6
3211,1424,18
4109,1424,7
4896,1424,14
5048,1424,3
5391,1424,1
5445,1424,1
495,1470,1
589,1470,5
1275,1470,6
1459,1470,12
2173,1470,1
2189,1470,1
3211,1470,13
4109,1470,2
4896,1470,11
5048,1470,1
5391,1470,1
495,2086,1
3729,2086,2
4173,2086,1
1032,2430,1
1275,2430,2
1459,2430,6
1611,2430,1
1786,2430,4
1804,2430,4
2173,2430,6
2189,2430,6
2446,2430,3
2529,2430,39
3211,2430,24
3335,2430,1
4109,2430,3
4173,2430,3
4896,2430,41
5048,2430,10
5391,2430,10
5445,2430,6
278,2527,3
495,2527,2
589,2527,12
1275,2527,38
1459,2527,35
1786,2527,5
1804,2527,5
2173,2527,3
2189,2527,3
2446,2527,10
2529,2527,28
3211,2527,15
4109,2527,2
4173,2527,1
4896,2527,28
5048,2527,3
5391,2527,3
5445,2527,2
278,3197,1
1275,3197,12
1459,3197,26
1786,3197,4
1804,3197,4
2446,3197,28
2529,3197,33
5048,3197,1
315,3279,3
495,3279,3
1103,3279,1
1174,3279,8
1275,3279,3
1611,3279,4
3335,3279,11
3729,3279,1
4109,3279,2
4173,3279,3
4258,3279,5
4458,3279,1
5391,3279,1
495,3334,9
589,3334,1
1103,3334,1
1174,3334,35
1275,3334,8
1459,3334,1
1611,3334,12
1786,3334,1
1804,3334,1
2087,3334,2
3280,3334,1
4109,3334,8
4173,3334,4
4258,3334,8
4458,3334,1
4896,3334,1
3280,3396,3
3335,3396,11
4173,3396,3
4258,3396,2
2087,3729,4
4258,3729,4
4896,3729,2
3280,3909,1
3335,3909,2
4109,3909,11
4173,3909,9
1275,3976,1
1459,3976,12
2446,3976,10
2529,3976,5
5445,3976,19
495,4108,6
1275,4108,3
1459,4108,8
1611,4108,3
1786,4108,2
1804,4108,2
2087,4108,2
2446,4108,6
2529,4108,4
3335,4108,2
3729,4108,1
4109,4108,2
4173,4108,4
4258,4108,63
4458,4108,20
4896,4108,6
5048,4108,1
5391,4108,11
315,4172,1
495,4172,1
1174,4172,7
1611,4172,5
2446,4172,2
2529,4172,1
3280,4172,2
3335,4172,8
4109,4172,1
4258,4172,26
4458,4172,2
4896,4172,2
5391,4172,4
495,4377,2
1611,4377,2
3335,4377,2
3729,4377,2
4109,4377,8
4173,4377,2
1275,5048,3
1459,5048,2
2446,5048,21
2529,5048,1
4896,5048,8
5391,5048,6
589,5213,9
1174,5213,1
1275,5213,32
1459,5213,20
1611,5213,1
1786,5213,7
1804,5213,7
2446,5213,56
2529,5213,37
3280,5213,1
3335,5213,6
3729,5213,3
4109,5213,12
5048,5213,12
5391,5213,24
589,5238,5
1275,5238,5
1459,5238,5
1611,5238,1
1786,5238,2
1804,5238,2
2446,5238,14
2529,5238,3
3211,5238,5
3280,5238,9
3335,5238,3
3729,5238,2
4109,5238,8
4173,5238,2
4896,5238,60
5048,5238,20
1275,5444,2
1786,5444,1
1804,5444,1
2173,5444,29
2189,5444,29
2446,5444,11
589,5603,5
1275,5603,5
1459,5603,5
1611,5603,1
1786,5603,2
1804,5603,2
2446,5603,14
2529,5603,3
3211,5603,5
3280,5603,9
3335,5603,3
3729,5603,2
4109,5603,8
4173,5603,2
4896,5603,60
5048,5603,20
