link_id,from_node_id,to_node_id,time_period,volume,capacity,travel_time,speed,VOC,queue,geometry,volume_at_p,resource_balance,notes
8,8,2,0000_2400,2004.763888888889,2200,,76.37791145833332,,,,,,period-based
13,14,15,0000_2400,1757.5791304347827,2200,,61.36625972847222,,,,,,period-based
23,24,25,0000_2400,2440.095652173913,2200,,100.0,,,,,,period-based
32,33,34,0000_2400,2437.2208695652175,2200,,100.0,,,,,,period-based
34,35,36,0000_2400,2436.486956521739,2200,,100.0,,,,,,period-based
35,36,38,0000_2400,2436.093913043478,2200,,100.0,,,,,,period-based
43,44,45,0000_2400,1556.2121739130434,2200,,100.0,,,,,,period-based
52,54,55,0000_2400,1604.04,2200,,87.44354515625,,,,,,period-based
56,58,59,0000_2400,1593.4347826086957,2200,,87.44354515624998,,,,,,period-based
63,65,66,0000_2400,1577.4852173913043,2200,,87.44354515624998,,,,,,period-based
65,67,68,0000_2400,1572.1617391304349,2200,,87.44354515624997,,,,,,period-based
73,75,76,0000_2400,4916.309027777777,2200,,100.0,,,,,,period-based
74,76,77,0000_2400,4880.204861111111,2200,,100.0,,,,,,period-based
84,86,87,0000_2400,4591.371527777777,2200,,87.25382904930554,,,,,,period-based
89,91,72,0000_2400,4410.847222222223,2200,,100.0,,,,,,period-based
92,95,96,0000_2400,4120.048611111111,2200,,96.35314785069448,,,,,,period-based
93,96,97,0000_2400,4023.0833333333335,2200,,96.35314785069447,,,,,,period-based
95,98,99,0000_2400,5313.430555555556,2200,,100.0,,,,,,period-based
97,100,101,0000_2400,5241.211805555556,2200,,100.0,,,,,,period-based
102,105,106,0000_2400,5096.788194444444,2200,,100.0,,,,,,period-based
103,106,71,0000_2400,5060.725694444444,2200,,100.0,,,,,,period-based
105,108,107,0000_2400,1601.75,2200,,47.37364060833333,,,,,,period-based
116,121,122,0000_2400,1625.3680555555557,2200,,100.0,,,,,,period-based
126,131,132,0000_2400,1638.8541666666667,2200,,82.25800486736114,,,,,,period-based
128,133,134,0000_2400,1757.6909722222222,2200,,82.25800486736114,,,,,,period-based
129,134,135,0000_2400,1817.1909722222222,2200,,83.39350247222227,,,,,,period-based
132,137,138,0000_2400,1995.4930555555557,2200,,83.39350247222225,,,,,,period-based
135,140,141,0000_2400,2173.8541666666665,2200,,83.39350247222224,,,,,,period-based
136,141,142,0000_2400,2233.2430555555557,2200,,83.39350247222222,,,,,,period-based
139,144,145,0000_2400,2234.0625,2200,,83.39350247222225,,,,,,period-based
149,154,155,0000_2400,2237.9270833333335,2200,,83.39350247222224,,,,,,period-based
150,155,156,0000_2400,2238.284722222222,2200,,83.39350247222222,,,,,,period-based
151,156,157,0000_2400,2238.7743055555557,2200,,83.39350247222225,,,,,,period-based
155,160,161,0000_2400,2240.1805555555557,2200,,100.0,,,,,,period-based
157,163,164,0000_2400,1163.3020833333333,2200,,59.36168698611112,,,,,,period-based
164,170,173,0000_2400,2077.7708333333335,2200,,52.81037964930554,,,,,,period-based
166,173,174,0000_2400,2105.0173611111113,2200,,52.81037964930553,,,,,,period-based
174,181,192,0000_2400,2200.0,2200,,68.76481874930556,,,,,,period-based
178,185,186,0000_2400,2200.0,2200,,27.896461188194444,,,,,,period-based
183,190,191,0000_2400,2200.0,2200,,68.76481874930559,,,,,,period-based
185,192,196,0000_2400,2200.0,2200,,68.7648187493056,,,,,,period-based
187,194,195,0000_2400,2200.0,2200,,68.76481874930559,,,,,,period-based
195,203,212,0000_2400,5260.274305555556,2200,,100.0,,,,,,period-based
199,207,208,0000_2400,5309.618055555556,2200,,100.0,,,,,,period-based
202,210,211,0000_2400,5291.121527777777,2200,,100.0,,,,,,period-based
204,212,218,0000_2400,5254.100694444444,2200,,100.0,,,,,,period-based
207,215,203,0000_2400,5266.430555555556,2200,,100.0,,,,,,period-based
214,223,224,0000_2400,2391.9513888888887,2200,,54.30404182500004,,,,,,period-based
222,232,238,0000_2400,3344.253472222222,2200,,100.0,,,,,,period-based
223,233,234,0000_2400,3505.5895652173913,2200,,57.12452324166667,,,,,,period-based
224,234,235,0000_2400,3451.478260869565,2200,,57.12452324166668,,,,,,period-based
5309,237,507,0000_2400,2856.3947826086956,2200,,50.44143244791667,,,,,,period-based
229,240,241,0000_2400,3181.6319444444443,2200,,100.0,,,,,,period-based
